AccountID,AccountName,Category,SubCategory,StatementType,NaturalSide,TotalDebit,TotalCredit,NetBalance,IsActive
ACC_0001,Capital Account,Equity,Capital,Balance Sheet,Credit,0.0,74901175.06,-74901175.06,Yes
ACC_0002,Opening Adjustment,Equity,Capital,Balance Sheet,Credit,0.0,4380.0,-4380.0,Yes
ACC_0003,MY FACTORY (DELHI)`2,Equity,Capital,Balance Sheet,Credit,0.0,9972680.0,-9972680.0,Yes
ACC_0004,MEHTA CAPITAL ACCOUNT,Equity,Capital,Balance Sheet,Credit,0.0,64924115.06,-64924115.06,Yes
ACC_0005,Loans (Liability),Liabilities,Loans,Balance Sheet,Credit,0.0,2000000.0,-2000000.0,Yes
ACC_0006,Unsecured Loans,Liabilities,Unsecured Loans,Balance Sheet,Credit,0.0,2000000.0,-2000000.0,Yes
ACC_0007,A.M FOODS,Liabilities,Unsecured Loans,Balance Sheet,Credit,0.0,2000000.0,-2000000.0,Yes
ACC_0008,Current Liabilities,Liabilities,Current Liabilities,Balance Sheet,Credit,5100600.64,27502112.94,-22401512.3,Yes
ACC_0009,Duties & Taxes,Liabilities,Duties & Taxes,Balance Sheet,Credit,4679663.98,43220.57,4636443.41,Yes
ACC_0010,Input Receivable,Liabilities,Duties & Taxes - Input,Balance Sheet,Credit,4678236.77,417.03,4677819.74,Yes
ACC_0011,CGST  Input,Liabilities,Duties & Taxes - Input,Balance Sheet,Credit,2965042.82,0.0,2965042.82,Yes
ACC_0012,IGST Input,Liabilities,Duties & Taxes - Input,Balance Sheet,Credit,40955.13,408.03,40547.1,Yes
ACC_0013,MACHINERY PARTS IGST TAX 18%,Liabilities,Duties & Taxes - Input,Balance Sheet,Credit,0.0,9.0,-9.0,Yes
ACC_0014,PURCHASE CGST 9%,Liabilities,Duties & Taxes - Input,Balance Sheet,Credit,0.0,0.0,0.0,No
ACC_0015,PURCHASE SGST 9%,Liabilities,Duties & Taxes - Input,Balance Sheet,Credit,0.0,0.0,0.0,No
ACC_0016,SGST Input,Liabilities,Duties & Taxes - Input,Balance Sheet,Credit,1672238.82,0.0,1672238.82,Yes
ACC_0017,Output,Liabilities,Duties & Taxes - Output,Balance Sheet,Credit,1427.21,1434.54,-7.33,Yes
ACC_0018,CGST,Liabilities,Duties & Taxes - Output,Balance Sheet,Credit,713.52,0.67,712.85,Yes
ACC_0019,IGST,Liabilities,Duties & Taxes - Output,Balance Sheet,Credit,0.17,1433.2,-1433.03,Yes
ACC_0020,SGST,Liabilities,Duties & Taxes - Output,Balance Sheet,Credit,713.52,0.67,712.85,Yes
ACC_0021,TDS Payable,Liabilities,TDS Payable,Balance Sheet,Credit,0.0,41369.0,-41369.0,Yes
ACC_0022,TDS 194C Contractor Company,Liabilities,TDS Payable,Balance Sheet,Credit,0.0,0.0,0.0,No
ACC_0023,TDS 194C Contractor Non Company,Liabilities,TDS Payable,Balance Sheet,Credit,0.0,30169.0,-30169.0,Yes
ACC_0024,TDS Professional 194J,Liabilities,TDS Payable,Balance Sheet,Credit,0.0,11200.0,-11200.0,Yes
ACC_0025,Provisions,Liabilities,Provisions,Balance Sheet,Credit,0.0,7535746.0,-7535746.0,Yes
ACC_0026,AUDIT FEES PAYABLE,Liabilities,Provisions,Balance Sheet,Credit,0.0,25000.0,-25000.0,Yes
ACC_0027,EPF-Administrative Charges Payable,Liabilities,Provisions,Balance Sheet,Credit,0.0,9734.0,-9734.0,Yes
ACC_0028,EPF PAYABLE,Liabilities,Provisions,Balance Sheet,Credit,0.0,233598.0,-233598.0,Yes
ACC_0029,ESIC PAYABLE,Liabilities,Provisions,Balance Sheet,Credit,0.0,42154.0,-42154.0,Yes
ACC_0030,LWF Payble,Liabilities,Provisions,Balance Sheet,Credit,0.0,55371.0,-55371.0,Yes
ACC_0031,MANUFACTURING EXPENSES PAYABLE,Liabilities,Provisions,Balance Sheet,Credit,0.0,2598900.0,-2598900.0,Yes
ACC_0032,Provision for Electricity Expenses,Liabilities,Provisions,Balance Sheet,Credit,0.0,400000.0,-400000.0,Yes
ACC_0033,PROVISION FOR EXPENSES,Liabilities,Provisions,Balance Sheet,Credit,0.0,2359692.0,-2359692.0,Yes
ACC_0034,Provision for Tax,Liabilities,Provisions,Balance Sheet,Credit,0.0,0.0,0.0,No
ACC_0035,SALARY PAYABLE,Liabilities,Provisions,Balance Sheet,Credit,0.0,1811297.0,-1811297.0,Yes
ACC_0036,Sundry Creditors,Liabilities,Sundry Creditors,Balance Sheet,Credit,0.0,18091146.9,-18091146.9,Yes
ACC_0037,HDFC Credit Card 2140,Liabilities,Sundry Creditors,Balance Sheet,Credit,0.0,1411062.81,-1411062.81,Yes
ACC_0038,Fixed Assets,Assets,Fixed Assets,Balance Sheet,Debit,22514484.5,0.0,22514484.5,Yes
ACC_0039,Accumulated Depreciation,Assets,Fixed Assets - Depreciation,Balance Sheet,Debit,0.0,0.0,0.0,No
ACC_0040,BIKE,Assets,Fixed Assets,Balance Sheet,Debit,452149.0,0.0,452149.0,Yes
ACC_0041,CAR(ISUZU),Assets,Fixed Assets,Balance Sheet,Debit,3047420.0,0.0,3047420.0,Yes
ACC_0042,Chapati Making Machine,Assets,Fixed Assets,Balance Sheet,Debit,0.0,0.0,0.0,No
ACC_0043,COOLER,Assets,Fixed Assets,Balance Sheet,Debit,2306813.0,0.0,2306813.0,Yes
ACC_0044,DUSTBIN 120LTR,Assets,Fixed Assets,Balance Sheet,Debit,9005.75,0.0,9005.75,Yes
ACC_0045,FURNITURE IGST 18%,Assets,Fixed Assets,Balance Sheet,Debit,88573.5,0.0,88573.5,Yes
ACC_0046,LUMINOUS BATTERY,Assets,Fixed Assets,Balance Sheet,Debit,17913.75,0.0,17913.75,Yes
ACC_0047,MACHINERY IGST 18%,Assets,Fixed Assets,Balance Sheet,Debit,15468491.5,0.0,15468491.5,Yes
ACC_0048,MOBILE,Assets,Fixed Assets,Balance Sheet,Debit,259194.75,0.0,259194.75,Yes
ACC_0049,PUMP,Assets,Fixed Assets,Balance Sheet,Debit,17318.75,0.0,17318.75,Yes
ACC_0050,RO PLANT IGST 18%,Assets,Fixed Assets,Balance Sheet,Debit,740000.0,0.0,740000.0,Yes
ACC_0051,SAREGAMA CARVAAN GST 18%,Assets,Fixed Assets,Balance Sheet,Debit,20990.75,0.0,20990.75,Yes
ACC_0052,TABLE,Assets,Fixed Assets,Balance Sheet,Debit,68980.5,0.0,68980.5,Yes
ACC_0053,Weighing Machine,Assets,Fixed Assets,Balance Sheet,Debit,17633.25,0.0,17633.25,Yes
ACC_0054,Investments,Assets,Investments,Balance Sheet,Debit,3100000.0,0.0,3100000.0,Yes
ACC_0055,Investment in FDR,Assets,Investments,Balance Sheet,Debit,2000000.0,0.0,2000000.0,Yes
ACC_0056,Kotak  Mutual Fund,Assets,Investments,Balance Sheet,Debit,1000000.0,0.0,1000000.0,Yes
ACC_0057,Motilal Oswal Financial Services Ltd,Assets,Investments,Balance Sheet,Debit,0.0,0.0,0.0,No
ACC_0058,Nippon Mutual Fund,Assets,Investments,Balance Sheet,Debit,100000.0,0.0,100000.0,Yes
ACC_0059,TPT Investment Management (TPTIM),Assets,Investments,Balance Sheet,Debit,0.0,0.0,0.0,No
ACC_0060,Current Assets,Assets,Current Assets,Balance Sheet,Debit,89126918.55,1990209.38,87136709.17,Yes
ACC_0061,Opening Stock,Assets,Current Assets - Stock,Balance Sheet,Debit,3130967.02,0.0,3130967.02,Yes
ACC_0062,Loans & Advances (Asset),Assets,Loans & Advances,Balance Sheet,Debit,0.0,0.0,0.0,No
ACC_0063,Advance Salary,Assets,Loans & Advances,Balance Sheet,Debit,0.0,0.0,0.0,No
ACC_0064,Sundry Debtors,Assets,Sundry Debtors,Balance Sheet,Debit,30958286.23,0.0,30958286.23,Yes
ACC_0065,Cash-in-Hand,Assets,Cash,Balance Sheet,Debit,88084.0,0.0,88084.0,Yes
ACC_0066,Cash,Assets,Cash,Balance Sheet,Debit,88084.0,0.0,88084.0,Yes
ACC_0067,Bank Accounts,Assets,Bank,Balance Sheet,Debit,22478549.92,0.0,22478549.92,Yes
ACC_0068,HDFC BANK,Assets,Bank,Balance Sheet,Debit,22478549.92,0.0,22478549.92,Yes
